Біграма;Частота
('с', 'т');0.014826133148703012
('т', 'о');0.013580674298583837
('н', 'а');0.012124323055313493
('л', 'и');0.011921388865677462
('н', 'о');0.0115672488092538
('е', 'р');0.011376251924890475
('р', 'о');0.010966404443860843
('о', 'с');0.010795303068285366
('е', 'н');0.01077142845773995
('н', 'е');0.01055655696283121
('п', 'о');0.010409330197801148
('о', 'в');0.01013477217652887
('р', 'е');0.009892046969317147
('к', 'о');0.00960953074452973
('н', 'и');0.009597593439257023
('о', 'т');0.00923947428107579
('а', 'л');0.009211620568772805
('р', 'а');0.009100205719560866
('л', 'о');0.008479465845380063
('г', 'о');0.00844365392956194
('в', 'о');0.008368050996168126
('е', 'с');0.008260615248713755
('о', 'н');0.008097472076653416
('о', 'р');0.00792239159932037
('и', 'л');0.007775164834290307
('п', 'р');0.007663749985078369
('о', 'л');0.007317568132169844
('о', 'д');0.007309609928654705
('к', 'а');0.007190236875927628
('и', 'т');0.006724681970292026
('и', 'с');0.006664995443928488
('т', 'ь');0.006577455205261964
('о', 'б');0.0065694970017468254
('в', 'е');0.0064660403560500256
('и', 'н');0.00643818664374704
('е', 'л');0.006370541913868363
('т', 'а');0.006286980776959409
('в', 'а');0.006255147962898855
('е', 'т');0.006243210657626148
('а', 'с');0.006171586825989901
('а', 'т');0.0060681301802931005
('а', 'н');0.006008443653929562
('о', 'м');0.006008443653929562
('л', 'е');0.005964673534596301
('а', 'к');0.005638387190475622
('о', 'г');0.005586658867627222
('р', 'и');0.005443411204354729
('д', 'е');0.005419536593809313
('т', 'е');0.0053319963551427905
('е', 'м');0.005236497912961128
('т', 'и');0.005236497912961128
('м', 'и');0.005208644200658143
('м', 'о');0.005113145758476482
('з', 'а');0.005109166656718912
('т', 'р');0.005093250249688635
('д', 'о');0.0049659189934464195
('а', 'в');0.004890316060052604
('л', 'а');0.004850525042476911
('с', 'я');0.004790838516113373
('и', 'в');0.004774922109083096
('е', 'д');0.004774922109083096
('н', 'ы');0.004759005702052819
('б', 'ы');0.004663507259871157
('о', 'п');0.004579946122962203
('д', 'а');0.004500364087810817
('о', 'й');0.004444656663204848
('л', 'ь');0.004404865645629156
('о', 'к');0.004325283610477771
('е', 'г');0.004317325406962632
('а', 'м');0.004301408999932355
('к', 'и');0.004237743371811247
('е', 'в');0.004074600199750908
('а', 'з');0.004070621097993339
('с', 'ь');0.004062662894478201
('п', 'е');0.004054704690963062
('к', 'р');0.003987059961084385
('с', 'к');0.0038716660101148766
('б', 'е');0.0038517705013270303
('м', 'е');0.00374831385563023
('р', 'у');0.003720460143327245
('и', 'м');0.003720460143327245
('и', 'к');0.003716481041569676
('ч', 'е');0.0037125019398121066
('с', 'о');0.0035612960730244756
('ж', 'е');0.003549358767751768
('в', 'и');0.0035414005642366293
('с', 'е');0.0035095677501760752
('т', 'в');0.0034299857150246905
('а', 'д');0.003394173799206567
('а', 'п');0.0033543827816308745
('е', 'п');0.0032867380517521976
('с', 'л');0.0032708216447219205
('т', 'н');0.0031554276937524124
('с', 'а');0.0031554276937524124
('и', 'з');0.003131553083206997
('и', 'е');0.0030758456586010272
('ь', 'н');0.003047991946298043
('в', 'с');0.002976368114661796
('ы', 'л');0.0029007651812679807
('у', 'д');0.002892806977752842
('а', 'р');0.002872911468964996
('н', 'н');0.002845057756662011
('о', 'з');0.002841078654904442
('в', 'ы');0.0028331204513893033
('д', 'н');0.002801287637328749
('н', 'у');0.002801287637328749
('у', 'т');0.002801287637328749
('х', 'о');0.0027973085355711804
('с', 'п');0.0027813921285409033
('и', 'п');0.002701810093389518
('б', 'о');0.002646102668783549
('д', 'и');0.0026262071599957026
('о', 'ж');0.0026102907529654256
('а', 'б');0.002582437040662441
('и', 'х');0.002582437040662441
('и', 'д');0.002542646023086748
('ч', 'т');0.0025068341072686253
('о', 'ч');0.002471022191450502
('у', 'с');0.002455105784420225
('ч', 'а');0.0024471475809050864
('о', 'е');0.002371544647511271
('е', 'к');0.002355628240480994
('ь', 'с');0.0023317536299355783
('ш', 'и');0.0023317536299355783
('н', 'к');0.0022879835106023164
('ш', 'е');0.002284004408844747
('е', 'о');0.002244213391269055
('я', 'т');0.0021725895596328084
('л', 'с');0.002096986626238993
('е', 'з');0.0020930075244814236
('ж', 'и');0.002085049320966285
('о', 'и');0.0020571956086633003
('о', 'о');0.002053216506905731
('м', 'а');0.0020412792016330232
('е', 'й');0.0020293418963603154
('а', 'я');0.002025362794602746
('и', 'ч');0.002013425489330039
('т', 'у');0.002001488184057331
('к', 'у');0.0019935299805421925
('э', 'т');0.001937822555936223
('р', 'ы');0.0019298643524210844
('м', 'н');0.0019219061489059459
('а', 'й');0.0019139479453908076
('и', 'и');0.0019020106401180998
('л', 'я');0.0018980315383605305
('с', 'м');0.0018940524366029613
('п', 'а');0.0018860942330878227
('ь', 'к');0.0018661987242999765
('т', 'с');0.0018661987242999765
('т', 'ы');0.0018502823172696996
('я', 'н');0.0018224286049667148
('и', 'о');0.0018224286049667148
('д', 'у');0.001810491299694007
('ы', 'е');0.0018025330961788685
('р', 'я');0.0017707002821183147
('ы', 'м');0.0017707002821183147
('е', 'б');0.0017627420786031761
('ы', 'й');0.0017508047733304684
('ы', 'с');0.001730909264542622
('с', 'в');0.0016990764504820682
('и', 'р');0.0016712227381790834
('е', 'ж');0.0016712227381790834
('е', 'ч');0.0016632645346639449
('с', 'с');0.0016553063311488066
('в', 'н');0.0016513272293912373
('и', 'я');0.0016433690258760988
('л', 'у');0.0016393899241185295
('и', 'б');0.0016393899241185295
('м', 'у');0.0016234735170882525
('р', 'н');0.0016075571100579754
('у', 'ж');0.0015956198047852677
('а', 'о');0.00158368249951256
('я', 'в');0.001567766092482283
('о', 'ф');0.001567766092482283
('б', 'р');0.0015637869907247138
('ы', 'в');0.0015598078889671445
('г', 'е');0.001551849685452006
('г', 'л');0.0015478705836944368
('а', 'г');0.0015438914819368675
('г', 'р');0.0015319541766641597
('ы', 'х');0.0015239959731490214
('с', 'н');0.001516037769633883
('е', 'е');0.0015120586678763137
('г', 'а');0.0015041004643611751
('у', 'г');0.0014762467520581903
('с', 'и');0.0014762467520581903
('ч', 'и');0.0014563512432703442
('р', 'т');0.001452372141512775
('п', 'и');0.001452372141512775
('щ', 'е');0.0014483930397552057
('з', 'н');0.0014444139379976365
('у', 'п');0.0014404348362400672
('б', 'у');0.0014324766327249287
('й', 'р');0.0014324766327249287
('ж', 'н');0.0014165602256946516
('у', 'ч');0.0014125811239370824
('у', 'ю');0.0013926856151492363
('д', 'в');0.0013926856151492363
('п', 'л');0.0013847274116340978
('а', 'и');0.00137279010636139
('у', 'р');0.001356873699331113
('ь', 'в');0.0013449363940584052
('у', 'л');0.0013449363940584052
('з', 'в');0.0013369781905432667
('п', 'у');0.001325040885270559
('ь', 'п');0.0013210617835129898
('я', 'п');0.0013210617835129898
('я', 'к');0.001309124478240282
('я', 'с');0.0013051453764827128
('а', 'х');0.0013011662747251435
('и', 'г');0.0012892289694524358
('й', 'с');0.0012812707659372972
('н', 'ь');0.0012653543589070204
('а', 'е');0.0012414797483616049
('ж', 'а');0.0012375006466040356
('в', 'ш');0.0012176051378161893
('м', 'ы');0.0012176051378161893
('л', 'н');0.0012096469343010508
('д', 'р');0.001193730527270774
('а', 'ч');0.0011897514255132047
('у', 'н');0.001177814120240497
('ы', 'т');0.001177814120240497
('в', 'п');0.0011579186114526506
('н', 'я');0.0011459813061799429
('я', 'л');0.0011380231026648046
('у', 'м');0.001130064899149666
('з', 'о');0.0011260857973920968
('б', 'и');0.0011181275938769583
('т', 'к');0.0011101693903618197
('б', 'л');0.0011022111868466812
('ч', 'н');0.001098232085089112
('а', 'ж');0.001098232085089112
('у', 'в');0.0010942529833315427
('ь', 'о');0.0010862947798164042
('г', 'д');0.0010862947798164042
('у', 'к');0.0010703783727861274
('к', 'н');0.0010624201692709888
('к', 'л');0.0010584410675134196
('с', 'у');0.0010544619657558503
('в', 'л');0.001050482863998281
('у', 'б');0.001050482863998281
('е', 'и');0.0010425246604831425
('о', 'ш');0.0010305873552104348
('и', 'й');0.0010305873552104348
('щ', 'и');0.0010226291516952962
('ь', 'я');0.001018650049937727
('з', 'д');0.0010146709481801577
('о', 'х');0.0010027336429074502
('о', 'я');0.000998754541149881
('д', 'л');0.0009828381341196039
('м', 'с');0.0009788590323620346
('ж', 'д');0.0009748799306044653
('ь', 'е');0.0009709008288468961
('я', 'д');0.0009669217270893268
('т', 'п');0.0009510053200590499
('н', 'с');0.0009430471165439114
('р', 'б');0.0009430471165439114
('з', 'е');0.0009350889130287729
('й', 'п');0.0009350889130287729
('г', 'у');0.0009271307095136344
('м', 'п');0.0009151934042409267
('б', 'а');0.0009112143024833574
('в', 'р');0.0009112143024833574
('л', 'ы');0.0008992769972106496
('ш', 'а');0.000887339691937942
('ы', 'п');0.0008674441831500957
('в', 'к');0.0008634650813925264
('в', 'у');0.0008594859796349572
('е', 'ш');0.000855506877877388
('л', 'ю');0.0008316322673319724
('к', 'е');0.000823674063816834
('д', 'ы');0.0008196949620592648
('ц', 'а');0.0008196949620592648
('л', 'п');0.0008196949620592648
('й', 'н');0.0008117367585441262
('е', 'щ');0.000807757656786557
('а', 'ш');0.000807757656786557
('м', 'в');0.0008037785550289877
('е', 'у');0.0007958203515138493
('я', 'и');0.00079184124975628
('в', 'т');0.0007838830462411415
('я', 'м');0.000775924842726003
('я', 'о');0.0007719457409684338
('у', 'ш');0.0007639875374532953
('ь', 'и');0.0007639875374532953
('ы', 'н');0.0007600084356957261
('р', 'с');0.0007560293339381568
('д', 'ь');0.0007480711304230183
('в', 'д');0.0007401129269078798
('о', 'у');0.0007361338251503105
('л', 'к');0.0007321547233927414
('ь', 'д');0.0007281756216351721
('и', 'щ');0.0007162383163624643
('а', 'ю');0.0007122592146048951
('ь', 'м');0.0007082801128473258
('л', 'г');0.0007082801128473258
('й', 'к');0.0007043010110897566
('н', 'т');0.0007003219093321873
('и', 'у');0.0007003219093321873
('ш', 'л');0.0007003219093321873
('х', 'в');0.0006923637058170489
('х', 'н');0.0006844055023019104
('й', 'в');0.0006764472987867719
('и', 'ш');0.0006724681970292026
('м', 'к');0.0006724681970292026
('и', 'ц');0.0006724681970292026
('ь', 'ш');0.0006645099935140642
('ц', 'е');0.0006645099935140642
('в', 'з');0.0006485935864837871
('й', 'д');0.0006485935864837871
('е', 'х');0.0006446144847262179
('ь', 'ч');0.0006366562812110794
('у', 'х');0.000628698077695941
('й', 'т');0.0006247189759383717
('в', 'в');0.0006207398741808024
('ь', 'з');0.0006048234671505254
('х', 'п');0.0006048234671505254
('к', 'с');0.0006008443653929562
('т', 'я');0.0005928861618778177
('у', 'з');0.0005849279583626792
('х', 'и');0.0005849279583626792
('н', 'ж');0.0005769697548475407
('щ', 'а');0.0005729906530899714
('т', 'л');0.0005729906530899714
('ь', 'т');0.0005690115513324023
('г', 'и');0.0005610533478172638
('к', 'в');0.0005530951443021252
('к', 'т');0.0005530951443021252
('л', 'в');0.0005530951443021252
('г', 'н');0.000549116042544556
('з', 'р');0.0005451369407869867
('р', 'в');0.0005411578390294175
('х', 'с');0.0005371787372718482
('ы', 'и');0.000533199635514279
('б', 'н');0.000533199635514279
('у', 'и');0.0005292205337567098
('у', 'о');0.0005292205337567098
('й', 'о');0.0005252414319991405
('ь', 'б');0.0005252414319991405
('ы', 'б');0.000517283228484002
('з', 'м');0.0005133041267264328
('я', 'з');0.0005093250249688635
('с', 'ч');0.0005053459232112942
('ы', 'ш');0.0005053459232112942
('т', 'д');0.0005013668214537251
('й', 'и');0.0005013668214537251
('ю', 'т');0.0004973877196961558
('д', 'к');0.0004973877196961558
('з', 'и');0.0004973877196961558
('я', 'ч');0.0004973877196961558
('м', 'я');0.0004934086179385866
('ы', 'р');0.0004934086179385866
('и', 'ж');0.00048545041442344804
('н', 'ц');0.0004774922109083096
('м', 'л');0.0004735131091507403
('ю', 'д');0.0004735131091507403
('а', 'у');0.0004655549056356018
('я', 'б');0.0004655549056356018
('ч', 'к');0.0004655549056356018
('у', 'щ');0.0004655549056356018
('ы', 'о');0.0004615758038780326
('д', 'с');0.00045759670212046333
('м', 'д');0.00045759670212046333
('ю', 'п');0.0004536176003628941
('л', 'ж');0.0004536176003628941
('ь', 'ю');0.0004496384986053248
('ч', 'ь');0.0004496384986053248
('с', 'д');0.0004496384986053248
('з', 'у');0.0004456593968477556
('и', 'ю');0.00044168029509018635
('п', 'я');0.00043372209157504783
('р', 'ь');0.00043372209157504783
('м', 'б');0.0004297429898174786
('к', 'п');0.0004297429898174786
('ж', 'у');0.0004297429898174786
('я', 'р');0.00042576388805990936
('ч', 'у');0.0004217847863023401
('р', 'п');0.0004217847863023401
('ы', 'к');0.0004217847863023401
('з', 'л');0.00041780568454477085
('н', 'д');0.00041382658278720164
('х', 'а');0.0004098474810296324
('й', 'м');0.0004098474810296324
('ш', 'ь');0.0004098474810296324
('в', 'г');0.0004058683792720631
('ю', 'н');0.00040188927751449386
('л', 'ч');0.00040188927751449386
('е', 'а');0.00039791017575692466
('ю', 'с');0.00038995197224178614
('е', 'ц');0.00038995197224178614
('ф', 'у');0.00038199376872664767
('д', 'ц');0.00038199376872664767
('м', 'т');0.0003780146669690784
('р', 'к');0.0003780146669690784
('к', 'б');0.0003660773616963707
('ш', 'к');0.0003660773616963707
('в', 'ь');0.0003660773616963707
('з', 'г');0.00036209825993880143
('а', 'щ');0.00036209825993880143
('а', 'э');0.00036209825993880143
('х', 'р');0.00035811915818123217
('п', 'ы');0.00034618185290852444
('й', 'б');0.0003422027511509552
('т', 'м');0.0003422027511509552
('я', 'г');0.0003422027511509552
('т', 'б');0.0003422027511509552
('ф', 'а');0.0003422027511509552
('я', 'ж');0.0003382236493933859
('о', 'щ');0.00033424454763581667
